Order;Band;Edge;Subject;dP;MSI_P;MSI_T;Musician
2;5;false;8;0.803232393378559;27;13;false
2;5;false;9;3.60481761149153;55;31;true
2;5;false;10;0;48;13;false
2;5;false;11;3.91992796908011;55;36;true
2;5;false;12;0.127685756280726;53;38;true
2;5;false;13;1.12383738063542;54;36;true
2;5;false;14;1.10521704949154;49;23;false
2;5;false;15;0.60805224661517;59;38;true
2;5;false;16;0.0454068328878897;28;13;false
2;5;false;17;2.09967428342192;55;33;true
2;5;false;18;1.03643338949379;59;45;true
2;5;false;19;0.143767680907448;47;27;true
2;5;false;20;0.674489750196082;49;37;true
2;5;false;21;0.850824266249143;27;42;true
2;5;false;22;1.0282044624088;53;33;true
2;5;false;23;3.52469045590185;45;40;true
2;5;false;24;0.739323635692705;61;38;true
2;5;false;25;1.65935911270388;51;25;true
2;6;true;1;-0.548828403341008;61;37;true
2;6;true;2;1.42175385590136;63;44;true
2;6;true;3;3.28970725390295;47;17;false
2;6;true;4;2.48647486052439;61;26;true
2;6;true;5;1.95996398454005;62;39;true
2;6;true;6;1.28978049262959;45;36;true
2;6;true;7;2.68128701644526;45;36;true
2;6;true;8;1.39150652381567;27;13;false
2;6;true;9;3.91992796908011;55;31;true
2;6;true;10;2.63445373473614;48;13;false
2;6;true;11;3.91992796908011;55;36;true
2;6;true;12;0.674489750196082;53;38;true
2;6;true;13;1.05981021660365;54;36;true
2;6;true;14;1.66687203195217;49;23;false
2;6;true;15;1.36602174628096;59;38;true
2;6;true;16;-0.150089237488041;28;13;false
2;6;true;17;2.21331108767585;55;33;true
2;6;true;18;2.92640519249607;59;45;true
2;6;true;19;2.48647486052439;47;27;true
2;6;true;20;1.36602174628096;49;37;true
2;6;true;21;2.21331108767585;27;42;true
2;6;true;22;2.34528445094762;53;33;true
2;6;true;23;2.92640519249607;45;40;true
2;6;true;24;2.63445373473614;61;38;true
2;6;true;25;2.80158521811297;51;25;true
